advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url,status_code,status_message
6,122227,Loma Colorado - Meridian,8666323621,http://www.pulte.com/communities/nm/rio-rancho/loma-colorado/2227/index1.aspx,201,null
6,122259,Hampton Village-Ave Maria,28667365160,http://www.pulte.com/communities/fl/ave-maria/hampton-village-ave-maria/2259/index1.aspx,403,"{""description"":""Buy Shoes and other Accessories from us today and save lots and lots of money"",""url"":""http://www.pulte.com/communities/fl/ave-maria/hampton-village-ave-maria/2259/index1.aspx"",""operating_24_7"":false,""visibility"":""All"",""campaign_type"":""AffiliateEnabled"",""expiration_date"":null,""timezone"":""Pacific Time (US \u0026 Canada)"",""auto_approve"":""None"",""hours"":{""monday_open"":64980,""monday_close"":64980,""monday_closed"":false,""tuesday_open"":64980,""tuesday_close"":64980,""tuesday_closed"":false,""wednesday_open"":64980,""wednesday_close"":64980,""wednesday_closed"":false,""thursday_open"":64980,""thursday_close"":64980,""thursday_closed"":false,""friday_open"":64980,""friday_close"":64980,""friday_closed"":true,""saturday_open"":64980,""saturday_close"":64980,""saturday_closed"":false,""sunday_open"":64980,""sunday_close"":64980,""sunday_closed"":false},""ivr_tree"":{""record_calls"":false,""root"":{""node_type"":""Connect"",""destination_phone_number"":""28667365160"",""destination_country_code"":""1"",""prompt"":""this shit is bananas again!""}},""advertiser_payin"":{""min"":null,""max"":null,""currency"":null,""range"":""\u003Cno policies\u003E"",""pricing"":""\u003Cno policies\u003E"",""policies"":null},""affiliate_payout"":{""min"":3.87,""max"":3.87,""currency"":""USD"",""range"":""$3.87 per call"",""pricing"":""$3.87 per call if repeat"",""policies"":[{""type"":""Base"",""condition"":""repeat"",""currency"":""USD"",""amount"":3.87}]},""name"":""Hampton Village-Ave Maria"",""errors"":{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""],""destination_number"":[""cannot be called""]}}}"
6,218213,Wakefield Meadows,,http://www.pulte.com/communities/ri/wakefield/WakefieldMeadows/2813/index1.aspx,403,"{""description"":""Buy Shoes and other Accessories from us today and save lots and lots of money"",""url"":""http://www.pulte.com/communities/ri/wakefield/WakefieldMeadows/2813/index1.aspx"",""operating_24_7"":false,""visibility"":""All"",""campaign_type"":""AffiliateEnabled"",""expiration_date"":null,""timezone"":""Pacific Time (US \u0026 Canada)"",""auto_approve"":""None"",""hours"":{""monday_open"":64980,""monday_close"":64980,""monday_closed"":false,""tuesday_open"":64980,""tuesday_close"":64980,""tuesday_closed"":false,""wednesday_open"":64980,""wednesday_close"":64980,""wednesday_closed"":false,""thursday_open"":64980,""thursday_close"":64980,""thursday_closed"":false,""friday_open"":64980,""friday_close"":64980,""friday_closed"":true,""saturday_open"":64980,""saturday_close"":64980,""saturday_closed"":false,""sunday_open"":64980,""sunday_close"":64980,""sunday_closed"":false},""ivr_tree"":{""record_calls"":false,""root"":{""node_type"":""Connect"",""destination_phone_number"":null,""destination_country_code"":""1"",""prompt"":""this shit is bananas again!""}},""advertiser_payin"":{""min"":null,""max"":null,""currency"":null,""range"":""\u003Cno policies\u003E"",""pricing"":""\u003Cno policies\u003E"",""policies"":null},""affiliate_payout"":{""min"":3.87,""max"":3.87,""currency"":""USD"",""range"":""$3.87 per call"",""pricing"":""$3.87 per call if repeat"",""policies"":[{""type"":""Base"",""condition"":""repeat"",""currency"":""USD"",""amount"":3.87}]},""name"":""Wakefield Meadows"",""errors"":{""ivr_tree"":{""destination_number"":[""must be set""]}}}"
