Iname,pool_type,destination_type,lifetime_seconds,max_pool_size,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,status
B8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D6,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E3,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
