advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url,status_code,error_message
73300,4001,Darryl's Refrigeration,5047585990,,201,""
73300,4002,Access Service Team,7135014718,,201,""
73300,4003,"Robert P. Harrington, Inc.",5703428405,,201,""
73300,4004,Sutter Heating,9528850775,,201,""
73300,4005,Latter Rain,8146522537,,201,""
73300,4006,Commercial Services,3042624330,,201,""
73299,4007,A-Team Heating & Cooling,9318795656,,201,""
73300,4008,Town & Country Heating & Cooling,5414502710,,201,""
73300,4009,"TYDE Mechanicals, Inc",,,403,"{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""],""destination_number"":[""cannot be called""]}}"
73300,4010,Quality Air,9543582264,,201,""
73300,4011,White Eagle,5612396969,,201,""
73300,4012,Quality Sheet Metal,6185497371,,201,""
73300,4013,"TW HVAC Supply, Inc.",6262889983,,201,""
73299,4014,Town East Heating & A/C,2146630035,,201,""
73300,4015,A.R. Steinmetz Heating and A/C,5136522882,,201,""
73300,4016,Big Town Service,7025643620,,201,""
73300,4017,Punzak Air Conditioning and Sales,2175296731,,201,""
73300,4018,Rick's Industrial,6063469465,,201,""
73300,4019,Certified Pro Air,2106780000,,201,""
73300,4020,Sokeland Heating & A/C,8127534535,,201,""
73300,4021,CFS-Millington,9016016162,,201,""
73300,4022,Putnam Mechanical,7047993665,,201,""
73300,4023,James Jordan A/C,2154600337,,201,""
73300,4024,YMCA of San Francisco,4157483544,,201,""
73300,4025,Gideon Sheet Metal,4326871443,,201,""
73300,4026,Kearney & Associates,3145691000,,201,""
73300,4027,DP Wolff Inc,9417670515,,403,"{""ivr_tree"":{""destination_number"":[""cannot be called""]}}"
73300,4028,TL Phillips Enterprise,8454768570,,201,""
73300,4029,"Peterman Heating & Cooling, Inc.",8124188180,,201,""
73300,4030,Covington Independent Schools,8596691101,,201,""
73299,4031,"All Weather Heating & Cooling, Inc",3604529813,,201,""
73300,4032,J Serenson heating and cooling llc,8606370080,,201,""
73300,4033,MJ & T Mechanical,6317868830,,201,""
73300,4034,Corley Controls,7045982677,,201,""
73300,4035,Althoff Industries,8154557000,,201,""
73300,4036,Berkeley Home Technologies,3046710055,,201,""
73300,4037,Q-Dot Inc,4129991468,,201,""
73300,4038,Think Green Environmental Systems,3157010532,,201,""
73300,4039,Precision Air Heating/Cooling,6158343777,,201,""
73300,4040,"Reliant Plumbing & Heating , LLC",9784304796,,201,""
73300,4041,Baker's Burner Service,8023947816,,201,""
73300,4042,Comfort Designs,9135924453,,201,""
73300,4043,Beasley's Conditioned Air,9124290924,,201,""
73300,4044,Emerald Valley Weatherization,54172610277,,403,"{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""]}}"
73300,4045,Economy Plumbing & Air,8088475100,,201,""
73299,4046,Quality First AC Inc,9549734200,,201,""
73300,4047,A-D Plumbing & Heating,6033351800,,201,""
73300,4048,Bud's Plumbing,6033352064,,201,""
73300,4049,Marc's Heating & Cooling,6034528120,,201,""
73300,4050,Absolute Comfort,8167267772,,201,""
73300,4051,Borderline Fuels,6036923022,,201,""
73300,4052,Absolute Air & Refrigeration,7133922653,,201,""
73300,4053,Eric Doucetter HVAC Services,6038174069,,201,""
73300,4054,Solo Air Conditioning,3055919840,,201,""
73300,4055,Rick Stratton P&H,8024426251,,201,""
73300,4056,"TexAir Company, Inc.",9566822822,,201,""
73300,4057,South Jersey Energy Service Plus - Hammonton,6095689028,,201,""
73300,4058,Suburban Energy Services,8023499542,,201,""
73300,4059,French's Air Cond,8136264630,,201,""
73300,4060,Tempco Heating and Air Conditioning,8476707000,,201,""
73300,4061,MCC Mechanical,4079635446,,201,""
73300,4062,Butler Heating & Air Conditioning,3527962229,,201,""
73300,4063,W.C. Eshenaur & Son Inc.,7172365031,,201,""
73300,4064,St. Joseph Hospital,9126823667,,201,""
73300,4065,R.W. Morgan HVAC,9127487975,,201,""
73300,4066,Marshall P&H,8028558109,,201,""
73300,4067,AC to Go Corporation,8045276939,,201,""
73299,4068,Jewell Mechanical,6154695965,,201,""
73300,4069,Spring Grove Cemetery & Arboretum,5138536859,,201,""
73300,4070,Knight's Service Co,9129642894,,201,""
73300,4071,Sherwood Oaks,8006422217,,201,""
73300,4072,Stephen Moulton P&H,2076320791,,201,""
