advertiser_id_from_network,advertiser_campaign_id_from_network,ringpool_id_from_network,name,pool_type,destination_type,lifetime_seconds,max_pool_size,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10
rr_1982090630,SEM153155,SEM153155,Search_Bing_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153156,SEM153156,Search_Bing_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153157,SEM153157,Search_Bing_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153158,SEM153158,Search_Bing_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153159,SEM153159,Search_Bing_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153160,SEM153160,Search_Bing_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153161,SEM153161,Search_Bing_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153162,SEM153162,Search_Bing_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153163,SEM153163,Search_Bing_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153164,SEM153164,Search_Bing_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153166,SEM153166,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153167,SEM153167,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153168,SEM153168,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153169,SEM153169,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153170,SEM153170,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153171,SEM153171,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153172,SEM153172,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153173,SEM153173,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153174,SEM153174,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153175,SEM153175,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153176,SEM153176,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153178,SEM153178,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153177,SEM153177,Search_Google_Desktop,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
rr_1982090630,SEM153179,SEM153179,Search_Google_Mobile,Custom,Advertiser,600,83,adometryId,kcid,SearchMediumCampaign,WTmc_id,TermContent,matchtype,gclid,WTid,uuid,cid
