advertiser_id_from_network,campaign_id_from_network,affiliate_id_from_network
rr_2288114483,a0A6771,InvocaYelp_444490000030275
rr_2288114483,a0A6575,InvocaYelp_444490000030275
rr_2288114483,a0A6577,InvocaYelp_444490000030275
