advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url
10,2227,Loma Colorado - Meridian,8666323621,http://www.pulte.com/communities/nm/rio-rancho/loma-colorado/2227/index1.aspx
10,2259,Hampton Village-Ave Maria,8667365160,http://www.pulte.com/communities/fl/ave-maria/hampton-village-ave-maria/2259/index1.aspx
10,2813,Wakefield Meadows,8666278583,http://www.pulte.com/communities/ri/wakefield/WakefieldMeadows/2813/index1.aspx
