advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url
1,20,Coldwater Crossing Townhomes,8778358810,http://www.pulte.com/communities/pa/breinigsville/coldwater-crossing-towns-and-twins/20/index1.aspx
1,23,Harrison Ranch,8662480438,http://www.pulte.com/communities/fl/parrish/palm-at-harrison-ranch/23/index1.aspx
1,393,MetroWest,8666323621,http://www.pulte.com/communities/va/fairfax/metrowest/393/index1.aspx
