advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number
73300,4001,Darryl's Refrigeration,5047585990
73300,4002,Access Service Team,7135014718
73300,4003,"Robert P. Harrington, Inc.",5703428405
73300,4004,Sutter Heating,9528850775
73300,4005,Latter Rain,8146522537
73300,4006,Commercial Services,3042624330
73299,4007,A-Team Heating & Cooling,9318795656
73300,4008,Town & Country Heating & Cooling,5414502710
73300,4009,"TYDE Mechanicals, Inc",
73300,4010,Quality Air,9543582264
73300,4011,White Eagle,5612396969
73300,4012,Quality Sheet Metal,6185497371
73300,4013,"TW HVAC Supply, Inc.",6262889983
73299,4014,Town East Heating & A/C,2146630035
73300,4015,A.R. Steinmetz Heating and A/C,5136522882
73300,4016,Big Town Service,7025643620
73300,4017,Punzak Air Conditioning and Sales,2175296731
73300,4018,Rick's Industrial,6063469465
73300,4019,Certified Pro Air,2106780000
73300,4020,Sokeland Heating & A/C,8127534535
73300,4021,CFS-Millington,9016016162
73300,4022,Putnam Mechanical,7047993665
73300,4023,James Jordan A/C,2154600337
73300,4024,YMCA of San Francisco,4157483544
73300,4025,Gideon Sheet Metal,4326871443
73300,4026,Kearney & Associates,3145691000
73300,4027,DP Wolff Inc,9417670515
73300,4028,TL Phillips Enterprise,8454768570
73300,4029,"Peterman Heating & Cooling, Inc.",8124188180
73300,4030,Covington Independent Schools,8596691101
73299,4031,"All Weather Heating & Cooling, Inc",3604529813
73300,4032,J Serenson heating and cooling llc,8606370080
73300,4033,MJ & T Mechanical,6317868830
73300,4034,Corley Controls,7045982677
73300,4035,Althoff Industries,8154557000
73300,4036,Berkeley Home Technologies,3046710055
73300,4037,Q-Dot Inc,4129991468
73300,4038,Think Green Environmental Systems,3157010532
73300,4039,Precision Air Heating/Cooling,6158343777
73300,4040,"Reliant Plumbing & Heating , LLC",9784304796
73300,4041,Baker's Burner Service,8023947816
73300,4042,Comfort Designs,9135924453
73300,4043,Beasley's Conditioned Air,9124290924
73300,4044,Emerald Valley Weatherization,54172610277
73300,4045,Economy Plumbing & Air,8088475100
73299,4046,Quality First AC Inc,9549734200
73300,4047,A-D Plumbing & Heating,6033351800
73300,4048,Bud's Plumbing,6033352064
73300,4049,Marc's Heating & Cooling,6034528120
73300,4050,Absolute Comfort,8167267772
73300,4051,Borderline Fuels,6036923022
73300,4052,Absolute Air & Refrigeration,7133922653
73300,4053,Eric Doucetter HVAC Services,6038174069
73300,4054,Solo Air Conditioning,3055919840
73300,4055,Rick Stratton P&H,8024426251
73300,4056,"TexAir Company, Inc.",9566822822
73300,4057,South Jersey Energy Service Plus - Hammonton,6095689028
73300,4058,Suburban Energy Services,8023499542
73300,4059,French's Air Cond,8136264630
73300,4060,Tempco Heating and Air Conditioning,8476707000
73300,4061,MCC Mechanical,4079635446
73300,4062,Butler Heating & Air Conditioning,3527962229
73300,4063,W.C. Eshenaur & Son Inc.,7172365031
73300,4064,St. Joseph Hospital,9126823667
73300,4065,R.W. Morgan HVAC,9127487975
73300,4066,Marshall P&H,8028558109
73300,4067,AC to Go Corporation,8045276939
73299,4068,Jewell Mechanical,6154695965
73300,4069,Spring Grove Cemetery & Arboretum,5138536859
73300,4070,Knight's Service Co,9129642894
73300,4071,Sherwood Oaks,8006422217
73300,4072,Stephen Moulton P&H,2076320791
73300,4073,Mission Mechanical,2107753212
73300,4074,M & E Sales,4107663831
73300,4075,"Oxford Mechanical Services, LLC",4102265207
73300,4076,All Brands Service Inc,9137801222
73300,4077,Burchoil,3013732131
73300,4078,Holmes HVAC,2102844961
73300,4079,"A.L. Tyler & Sons, Inc.",8022549309
73300,4080,BNK,9198514422
73300,4081,Shannon Hacker Mechanical,7072877982
73300,4082,"HVAC Installation, Inc.",6305823840
73300,4083,City A/C,9544818804
73300,4084,"T & T Plumbing, Heating, Air Conditioning, and Mechanical Contractors",2606378244
73300,4085,Spencer Electric and Refrigeration,9104732126
73300,4086,SA Sloop,7042396578
73300,4087,Cool Care Heating & Air,8037727715
73300,4088,"J & S HVAC, Inc.",4104904988
73300,4089,"Air Solutions, Inc.",9162573648
73300,4090,"Wilkerson Heating, Air & Electric",9199396180
73300,4091,Enterprise Electrical,3175467002
73300,4092,"Rowe Heating & Air, Inc.",8067937693
73300,4093,Bolinger Heating & Air,4234424986
73300,4094,October Engineering Associates LLC,9782615592
73300,4095,Extreme Comfort A/C & Heat,9722342336
73300,4096,Jon Smithberger,7404392186
73300,4097,Port Authority,2017681439
73300,4098,McIntosh Services,8509682593
