advertiser_id_from_network,advertiser_campaign_id_from_network,ringpool_id_from_network,name,pool_type,destination_type,lifetime_seconds,max_pool_size,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10
rr_1168403538,CAL-AG6,CAL-AG6,C8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,AJA-AG1,AJA-AG1,7B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,OTT-AG3,OTT-AG3,1B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BAR-AG1,BAR-AG1,3F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BEL-AG1,BEL-AG1,7E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BOU-AG1,BOU-AG1,B2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BRM-AG1,BRM-AG1,4A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BRN-AG1,BRN-AG1,9B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BRC-AG1,BRC-AG1,2E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BUR-AG1,BUR-AG1,4D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,CAL-AG1,CAL-AG1,D9,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,CAL-AG4,CAL-AG4,D2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,CAM-AG1,CAM-AG1,A0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,COR-AG1,COR-AG1,1D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,COU-AG1,COU-AG1,6F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,CAL-AG3,CAL-AG3,D3,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,DAR-AG1,DAR-AG1,E7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,EDM-AG1,EDM-AG1,E2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,EDM-AG2,EDM-AG2,E1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,EDM-AG3,EDM-AG3,E4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,BOI-AG1,BOI-AG1,A4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,GUE-AG1,GUE-AG1,C0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,HAL-AG1,HAL-AG1,E6,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,HAM-AG1,HAM-AG1,5A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,TOR-AG1,TOR-AG1,8C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,KIN-AG1,KIN-AG1,7D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,LAV-AG1,LAV-AG1,A2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
rr_1168403538,LET-AG1,LET-AG1,D1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative
