advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url
1,2095,Creekview Glen,8778358810,http://www.pulte.com/communities/GA/suwanee/CreekviewGlen/2095/index1.aspx
1,2096,Village at the Park Townes,8666278583,http://www.pulte.com/communities/NC/raleigh/VillageattheParkTownes/2096/index1.aspx
1,2097,Mirehaven,8666323621,http://www.pulte.com/communities/NM/albuquerque/Mirehaven/2097/index1.aspx
1,2098,Easthaven,8667365160,http://www.pulte.com/communities/IL/buffalo-grove/Easthaven/2098/index1.aspx
1,2099,Windsor at Westside,8773464762,http://www.pulte.com/communities/FL/kissimmee/WindsoratWestside/2099/index1.aspx
1,2120,Whispering Palms,8773464762,http://www.pulte.com/communities/fl/fort-myers/whispering-palms/2120/index1.aspx
1,2149,Flagler Station,8667365160,http://www.pulte.com/communities/fl/jacksonville/flagler-station/2149/index1.aspx
